singer,title,lyric,genre
채정안,편지,"너무 미안해 이럴수밖에 없는 날 원망하지마

나도 너에게 뭔가 줄수 있어 행복해

너의 사랑이 내게 과분했었던건 알고 있었어

꿈이 아니길 꿈이라면 깨기 싫었어

너의 그녈 만났어(그녀를)

나에게 물었어(사랑해)

널 사랑한다면 너를 포기하라고

날 날 잊어버려 나를 나를 지워버려

제발 네가 싫어 다른사람 찾아 떠난거라 오해하며 살아가줘



고개 숙이며 울고 있는 나를 위로해주던 여자

착해 보이는 그녈 보니 맘이 놓였어

너에게 맞는 여자는 나뿐이라 생각했는데

그녀가 있어 조금은 내 가슴이 아파

많이 사랑했었어(너만을)

그만큼 울었어(다시는)

내가 보고 싶어도 나를 찾진 말아줘

날 날 잊어버려 나를 나를 지워버려

제발 네가 싫어 다른 사람 찾아 떠난거라 오해하며 살아가줘

날 날 잊어버려 나를 나를 지워버려

제발 네가 싫어 다른 사람 찾아 떠난거라 오해하며 살아가줘",댄스
신승훈,엄마야,"엄마야 어떡하면 그녈 다시

돌아오게 할 수 있는지

내게 가르쳐줘 제발

그녀 없는 세상이 너무 두려워

드디어 내게도 운명 같은

사랑이 찾아온거라고

매일을 얼마나 들떴었는지

아무도 모를꺼야

태어나 맨 처음 기도했어

이번엔 이별이지 않게

영원한 사랑을 지킬수 있게

한번만 도와주길

하지만 그댄 떠나려 해

또 다른 사랑을 찾아

내가 무슨 잘못했는지

알지도 못하는데

엄마야 이번만은 내 뜻대로

너만은 보낼수가 없어

제발 믿게해줘 내게

이 세상에 사랑이 있다는것을

엄마야 이번만은 잊지 못해

다시는 사랑 못할꺼야

나의 모든것을 걸어

처음으로 정말 난 사랑을 했어

태어나 맨 처음 기도했어

이번엔 이별이지 않게

영원한 사랑을 지킬수 있게

한번만 도와주길

하지만 그댄 떠나려 해

또 다른 사랑을 찾아

내가 무슨 잘못했는지

알지도 못하는데

엄마야 이번만은 내 뜻대로

너만은 보낼수가 없어

제발 믿게해줘 내게

이 세상에 사랑이 있다는것을

엄마야 이번만은 잊지 못해

다시는 사랑 못할꺼야

나의 모든것을 걸어

처음으로 정말 난 사랑을 했어

제발 떠나가지마

그대 없는 난 내가 아냐

돌아와줘 제발 내곁으로

엄마야 이번만은 내 뜻대로

너만은 보낼수가 없어

제발 믿게해줘 내게

이 세상에 사랑이 있다는 것을

엄마야 이번만은 잊지 못해

다시는 사랑 못할꺼야

나의 모든것을 걸어

처음으로 정말 난 사랑을 했어",발라드
이소은,서방님,"잊어요 괜한 걱정마요 예전에 내가 말했잖아요
그대 가는 길가에 핀 이름모를 꽃처럼 있는 모습 그대로
지켜줘요 괜한 욕심말아요 언제나 내가 말하잖아요
여기 그대 눈 멀게한 소녀의 고운 미소
그리 영원하진 않아요
서방님 내 서방님 용서하세요
허락하려 할 수록 소녀는 우스워질테니
노여워 말아요 견뎌내야죠 처음부터 잘못택했었던
그대의 잘못인거죠

미워요 괜한 투정이죠 사실 내맘도 병들어가고 있죠
늘 그대 볼 수 있게 이대로 눈을 감고
달이 되어 살고 싶어요
서방님 내 서방님 알아주세요
정든님 넓은 가슴 멍들게 할 주제 못되니
노여워 않아요 견뎌내야죠 처음부터 떨치지 못했던
소녀의 잘못인거죠

우리의 잘못인거죠
오 언제라도 그대뿐이에요(서방님 내 서방님 용서하세요)
시간이 끝에 닿아도(무엇이 또 그누가 잘못이 있을지라도)
다시 산다해도 그댈 따르겟어요(노여워 말아요 기다려야죠)
그땔 기다려요 우 그런날이 오겠죠(처음부터 사랑해도 좋은 그런 날이 오겠죠)",발라드
플라이 투 더 스카이,Day By Day,"오늘 하루 어땠나요 괜찮았나요
어제는 너무 늦어서 전활
할 수 없었죠
괜시리 수화길 들었다 또 놨다
그렇게 밤을 지새웠어요
조금 우습죠
당신 하루 생활이 난 궁금했어요
잠잘 땐 나처럼 베갤
끌어안고 자는지
가끔은 잠에서 깨보면 TV만
외로이 홀로
켜져 있는지 별거 아닌데
나는 궁금했어요
당신이 좋아지는 거겠죠
그런데 난 이 말을 하기가
Oh baby 힘이 든 건지
아님 용기가 없어서 자꾸만
피하는지
사랑해요 아니 모자라지요
내 안에 사랑 보여 줄 수 있는 날
기다려요 아주 천천히 많이
꺼내 들고서 앞에 서 있을 그 날
손을 뻗어 당신께 난 갔어요
꿈인 줄 알았지만 멈출 수는
없었지요
내 몸에서 느껴지는 떨림을
도저히 멈출 수가 없어요
난 당신께 솔직히 내 맘을
털어놔요
사랑해요 아니 모자라지요
내 안의 사랑 보여 줄 수 있는 날
기다려요 아주 천천히 많이
꺼내 들고서 앞에 서 있을 그 날
Day by day 나보다 더 소중한
I still long for your love
day by day",알앤비/어반
박혜경,고백,"말해야 하는데 네 앞에 서면
아무 말 못하는 내가 미워져
용기를 내야해 후회하지 않게
조금씩 너에게 다가가
날 고백해야해
내 오래된 친구인 널
좋아하게 됐나 봐
아무렇지 않은 듯 널 대해도
마음은 늘 떨렸어
미소 짓는 너를 보면
우리 사이가 어색할까 두려워
아무런 말 하지 못한 채
돌아서면 눈물만 흘렸어
말해야 하는데 네 앞에 서면
아무 말 못하는 내가 미워져
용기를 내야해 후회하지 않게
조금씩 너에게 다가가
날 고백해야해
처음 너를 만났던 날
기억할 순 없지만
그저 그런 친구로 생각했고
지금과는 달랐어
미소 짓는 너를 보면
우리 사이가 어색할까 두려워
하루 종일 망설이다
헤어지면 눈물만 흘렸어
말하고 싶은데 사랑한다고
아무 말 못하는 내가 너무 미워
용기를 내야해 후회하지 않게
조금씩 너에게 다가가
날 고백할 거야
용기를 내야 해 후회하지 않게
조금씩 너에게 다가가
날 고백할 거야
사랑한다고 아무 말 못하는
내가 너무 미워
용기를 내야 해 후회하지 않게
조금씩 너에게 다가가
날 고백할 거야",락
박효신,해줄 수 없는 일,"할말이 있어 어려운 얘기
내게 힘겹게 꺼내놓은 네
마지막 얘기
내 곁에 있기엔 너무 닮지 못해서
함께 할 수 있는 건 이별 뿐이라고
아무것도 난 몰랐잖아 너를
힘들게 했다는 게
그런것도 몰랐다는 걸 도무지
난 용서가 안돼
아무것도 넌 모르잖아
나를 차갑게 돌아서도 내일부터
볼 수 없어도
내 안에 넌 달라지는 게 아니란걸
그렇다는걸 너도 알고 있잖아
니가 원하면 무엇이든 다 할
수 있단 걸
해줄 수 없는 건 오직
한 가지 뿐야
너무 사랑하면서 너를
떠나가는 일
아무것도 난 몰랐잖아 너를
힘들게 했다는 게
그런것도 몰랐다는 걸 도무지
난 용서가 안돼
아무것도 넌 모르잖아
나를 차갑게 돌아서도 내일부터
볼 수 없어도
내 안에 넌 달라지는 게 아니란걸
너를 위한 길이라면 그러고 싶어
받아들이려고 해봐도
이별까지는 아무래도
힘들것 같아
니가 없이 살아가는게 나에게는
자신 없으니까
아무말도 못 들은 걸로 아무일도
없었던 걸로
오늘 일만 지워버리면 우리
둘은 달라지는게 없잖아
더 지치게 하는 일 없을테니",발라드
이정현,와,"사실이 아니길 믿고 싶었어
널 놓치기 싫었어
혹시나 우리의 사랑이 잘못 돼
끝나면 어떡해
가슴은 아프지만 모른척 해야해
이별보단 덜 아플 테니까
설마했던 네가 나를 떠나버렸어
설마했던 네가 나를 버렸어
깊었던 정을 쉽게 잊을 수 없어
늦었어 이미 난 네 여자야
오오오오오오오오 독한
여자라 하지마
오오오오오오오오
사랑했으니 책임져
다시는 사랑에 속지 않기를 나
간절히 바랬어
네가 내 인생의 마지막 남자가
돼 주길 바랬어
하지만 이게 뭐야 눈물 뿐이야
이제 남은건 절망 뿐이야
설마했던 네가 나를 떠나버렸어
설마했던 네가 나를 버렸어
깊었던 정을 쉽게 잊을 수 없어
늦었어 이미 난 네 여자야
오오오오오오오오
독한 여자라 하지마
오오오오오오오오
사랑했으니 책임져
날 봐 잘 봐 내 사랑을 다시 봐
와와 봐봐 이번이 마지막
뭣하러 뭣하러 떠나 날
뭣하러 뭣하러 버려
이제 잔소리 말고 내게로
다시 와줘 와줘",댄스
이정현,바꿔,"모두 제정신이 아니야 다들
미쳐가고만 있어
어느 누굴 믿어 어찌믿어
더는 못믿어
누가 누굴 욕하는거야 그러는
넌 얼마나 깨끗해
너나 할것없이 세상속에
속물들이야
바꿔 바꿔 바꿔 내 모든걸
다 바꿔 바꿔 바꿔
사랑도 다 바꿔 바꿔 바꿔 거짓은
다 바꿔 바꿔 바꿔 세상을 다 바꿔
THANGTH IT WAS A MUST
TO TRUST YOU NOW I CRUSH
YOU ANALYSIN MY BRAIN
너의 가식적인 사랑
나를 다시 사랑하길 바래
내가 다시 돌아오길 바래
그럼 바꾸길 바래 늦기전에
날 잡길 바래
한 여자의 지난 과거가 왜
용서받지 못할 일이야
맘에 걸렸다면 처음부터 왜
날 사랑해
모든 것이 변해버렸어 예전의
나로 착각하지마
나를 버린것을 후회해도
이미 늦었어
바꿔 바꿔 바꿔 내 모든걸
다 바꿔 바꿔 바꿔
사랑도 다 바꿔 바꿔
바꿔 거짓은
다 바꿔 바꿔 바꿔 세상을
다 바꿔 바꿔 바꿔 내 모든걸 다
바꿔 바꿔 바꿔
사랑도 다 바꿔 바꿔 바꿔
거짓은 다 바꿔 바꿔
바꿔 세상을
다 바꿔 바꿔",댄스
박효신,바보,"너무 모르고 있죠 이미 떠난 사인데
언젠가 올 거란 생각에 마냥 웃고만 있죠
슬픈 상처뿐인데 곁에 있을 거라 믿었죠
걱정돼요 내가 없으면 어느 것 하나도 할 수 없던 사람인데
꼭 한번 만날 수 있다면 아직 남겨진 내 맘 전하고 싶은데
내가 부족한가요 당신을 원한 이유로 이렇게 날 외면하려 하나요
단 한번 사랑을 믿어요 볼 수 있다면 나 웃고 살 수 있는데
허나 다른 사랑 찾아가란 말은 말아요 날 버리진 않겠죠
그럴 리 없잖아요 you
부탁해요 곁에 없어도 몸조심하세요 참 힘겨워 했잖아요
또 다시 만날 수 있다면 아직 남겨진 내 맘 전하고 싶은데
내가 부족한가요 당신을 원한 이유로 이렇게 날 외면하려 하나요
단 한번 사랑을 믿어요 볼 수 있다면 나 웃고 살 수 있는데
허나 다른 사랑 찾아가란 말은 말아요 날 버리진 않겠죠
그럴 리 없잖아요
언젠가 잠시라도 기억 할 수 있다면 난 그걸로 되요

 ",발라드
김현정,너 정말,"요즘 니가 만나는
그 앤 너무 아니야
왜 하나같이 그런 여자뿐이니
속상해서 그러지 눈은
높았었는데
어쩜 그렇게도 실망스럽니
물론 우리 어차피 안 볼 사람들
그래도 옛정이 남았는지
신경 쓰였어
아무렴 어떠니 뭐 그래 봤잔데
나 괜히 열냈던 거니
오해는 말아줘
어디가 이쁘니 나보다 괜찮니
그냥 좀 궁금한거니
기대는 말아줘
내가 어떤 여자를
사귀든 말든
상관없는 거잖아
관심없다 했잖아
아쉽나 너나 나나
무언가가가 그랬었나
몰랐었나 후회되는
건가 그런가
바보같이 내인생이 이렇지
아직까지 너만한 애 본적
없지 나는 이렇지
후회해도 할수 없지
그렇지 나같이
그래도 널 사랑했지
물론 우리 어차피 안 볼 사람들
그래도 옛정이 남았는지
신경 쓰였어
아무렴 어떠니 뭐 그래 봤잔데
나 괜히 열냈던 거니
오해는 말아줘
어디가 이쁘니 나보다 괜찮니
그냥 좀 궁금한거니
기대는 말아줘
너 정말 못됐어 그렇게 하길래
매달릴 거였으면
왜 나랑 헤어졌니
너 정말 미웠어 너
정말 불쌍해
나같이 보기드문 애
놓치고 잘사니",댄스
박지윤,성인식,"그대여 뭘 망설이나요
그대 원하고 있죠
눈앞에 있는 날
알아요 그대 뭘 원하는지
뭘 기다리는지 그대여
이리와요
나도 언제까지 그대가
생각하는 소녀가 아니예요
이제 나
여자로 태어났죠
기다려준 그대가 고마울 뿐이죠
나 이제 그대 입맞춤에
여자가 돼요
난 이제 더 이상 소녀가
아니예요
그대 더 이상 망설이지 말아요
그대 기다렸던 만큼
나도 오늘을 기다렸어요
장미 스무송일 내게 줘요
그대 사랑을 느낄 수 있게
그댈 기다리며 나 이제
눈을 감아요
그대여 나 허락 할래요
나만을 바라보던 그대의 사랑을
사랑은 너무나 달콤하고
향기로운거란 걸 내게
가르쳐줘요
항상 힘들어하는 그대
기다려 주던 그대
모습 바라보는 내 마음도
아팠어요
하지만 이제 내게 더
기다려야 될
이유가 없어지는 날이 온 거예요
난 이제 더 이상 소녀가
아니예요
그대 더 이상 망설이지 말아요
그대 기다렸던 만큼
나도 오늘을 기다렸어요
장미 스무송일 내게 줘요
그대 사랑을 느낄 수 있게
그댈 기다리며 나 이제
눈을 감아요
나도 언제까지 그대가
생각하는 소녀가
아니예요 이제 나 여자로
태어났죠
기다려준 그대가 고마울
뿐이죠 나
이제 그대 입맞춤에
여자가 돼요
난 이제 더 이상 소녀가
아니예요
그대 더 이상 망설이지 말아요
그대 기다렸던 만큼
나도 오늘을 기다렸어요
장미 스무송일 내게 줘요
그대 사랑을 느낄 수 있게
그댈 기다리며 나 이제
눈을 감아요",댄스
정일영,기도,"혹시 나를 떠나려는 그대 맘이
힘든 나를 위해서 그런 이유인가요
하루만큼 멀어져도 괜찮아요
그대 어디 있어도 사랑인걸 믿어요
그땐 난 미처 몰랐죠
나를 보던 그대 눈빛
작은 그대 어깨조차도
안아줄 수 없던 내가 싫었죠
언제까지 슬픈 운명 우릴 갈라놓아도
또 다시 그대 맘을 울리지는 않을 거예요
어떤 것도 나의 그댈 대신할 수 없기에
이제는 그대보다 소중한 건
내게 없단 걸 아나요
나를 보며 웃는 그대 그 미소가
내게 너무나 벅찬 그런 행복인걸요
더 가까이 기대와도 괜찮아요
그대 숨결 느끼는 지금 이 순간처럼
그땐 난 미처 몰랐죠
나를 보던 그대 눈빛
작은 그대 어깨조차도
안아줄 수 없던 내가 싫었죠
언제까지 슬픈 운명 우릴 갈라놓아도
또 다시 그대 맘을 울리지는 않을 거예요
어떤 것도 나의 그댈 대신할 수 없기에
이제는 그대보다 소중한 건
내게 없단 걸 아나요
언제까지나 여기 있어요
작은 손길 닿는 곳에
그대 사랑이 나를 불렀죠 그대 곁으로
언제까지 슬픈 운명 우릴 갈라놓아도
또 다시 그대 맘을 울리지는 않을 거예요
어떤 것도 나의 그댈 대신할 수 없기에
이제는 그대보다 소중한 건 내게 없단 걸",발라드
god,거짓말,"미안해
난 니가 싫어졌어 우리
이만 헤어져
다른 여자가 생겼어 너보다
훨씬 좋은
실망하지는 마 나 원래 이런
놈이니까
제발 더 이상 귀찮게 하지마
그래 이래야 했어 이래야만
했어 거짓말을 했어
내가 내가 결국 너를
울리고 말았어
하지만 내가 이래야만
나를 향한
너의 마음을 모두 정리할
수 있을 거라고 생각한
내 맘을 내 결정을 어쩔
수 없음을
이렇게 하지 않으면 니가
날 떠나지 않을 것임을
알기에 너무나도 잘 알기에
어쩔 수 없어 널 속일게
미안해 널 울릴게
잘 가 가지마 행복해 떠나지마
나를 잊어줘 잊고 살아가줘
나를 잊지마
나는 그래 나는 괜찮아 아프잖아
내 걱정은 하지 말고 떠나가
제발 가지마
왜 자꾸 날 따라와 싫다고
했잖아
다른 여자가 생겼다고 몇 번
말했잖아
너 자꾸 이러면 나 이제 정말
화낼거야
제발 너도 다른 사랑 찾아
왜 자꾸 이러니 왜 자꾸 날
힘들게 하니
니가 자꾸 이러면 내가 널
떠나 보내기가 힘들잖니
내가 어디가 좋니 이렇게
매일 고생만 시키잖니
그리고 너 정도면 훨씬 좋은
남자 얼마든지
사귈 수 있잖니 싫어 싫어
정신 차려 바보야 정신 차려 제발
다시 한번 말하지만 나는 이제
니가 정말 싫어
그러니 제발 돌아가 제발 저리가
난 니가 싫어 니가 정말 싫어
잘 가 가지마 행복해 떠나지마
나를 잊어줘 잊고 살아가줘
나를 잊지마
나는 그래 나는 괜찮아 아프잖아
내 걱정은 하지 말고 떠나가
제발 가지마
잘 가 가지마 행복해 떠나지마
나를 잊어줘 잊고 살아가줘
나를 잊지마
나는 그래 나는 괜찮아 아프잖아
내 걱정은 하지 말고 떠나가
제발 제발 가지마
잘가 행복해
나를 잊어줘 잊고 살아가줘
나를 잊으면 안돼
나는 그래 나는 괜찮아 아프잖아
내 걱정은 하지 말고 떠나가",댄스
임창정,날 닮은 너,"날 닮은 너를 부족한 너를
그저 바라보기엔 후회로 물든
내 지난날이 너무 많이 다쳤어
나의 과거와 너의 지금과
너무도 같기에 두려워 겁이나
내게 마지막이어야 할 사람
너의 방황을 돌릴 수 있게
날 이렇게 뿌리친대도
너의 손을 놓진 않을거야
잠시도 너는 불안한 모습
감출수가 없었니 음
내가 아녀도 지친 니 맘을
위로 받을수 있니
나의 과거와 너의 지금과
너무도 같기에 두려워 겁이나
내게 마지막이어야 할 사람
너의 방황을 돌릴 수 있게
날 이렇게 뿌리친대도
너의 손을 놓진 않을거야
나 역시 너 같았어
너처럼 어두웠어 니가 지내온
또 다른 시간도 더 있을 고통도
난 감당할거야 워
마지막이어야 할사람
너의 미래를 지킬 수 있게
날 이렇게 뿌리친대도
너의 손을 놓진 않을거야
마지막이어야 할 사람
너의 미래를 지킬수 있게
날 이렇게 뿌리친대도
너의 손을 놓진 않을거야
너의 손을 놓진 않을거야",발라드
